Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
# DETECT=HEADER:受診年月日,漢字氏名,胸部フィルム№,ALB/BCP
# DETECT=COLS:250-250
# LABEL=東振協データ送信・完全版 (250列)
# 計測・X線・心電図・便潜血・血液・既往歴・問診が1ファイルに入っている。
# 受付番号の列が無いので、氏名(カナ優先)で健診ナビの受診者を探して書き込む。
# ★印のNoteは項目コード等が未確定。確定するまで書き込まれない(「項目CD未設定」と出る)。
# 数値の判定(★…／判：…)とBMIは健診ナビの自動判定が出すので取り込まない。
# 所見の判定(胸部・胃部・心電図・他覚所見)は Kind=HANTEI で判定欄に直接書く。
#   健診ナビの所見マスタに判定記号があるのは「正常範囲」等の正常側だけなので、
#   異常があった人は自動判定を回しても判定が空のままになるため。
1,,受診年月日,KENYMD,,,,,,,,20260821 の8桁
2,,正式名称（親）,IGNORE,,,,,,,,団体名
3,,事業所管理番号,IGNORE,,,,,,,,★人ごとに違う番号。社員番号かもしれないが、勝手に上書きすると過去の結果票に影響するので取り込まない
4,,漢字氏名,NAMEKANJI,,,,,,,,
5,,カナ氏名,NAMEKANA,,,,,,,,
6,,性別,IGNORE,,,,,,,,健診ナビの個人マスタが持っている
7,,生年月日,IGNORE,,,,,,,,同上
8,,年齢,IGNORE,,,,,,,,同上
9,,記号,IGNORE,,,,,,,,
10,,総合判定,IGNORE,,,,,,,,総合判定は自動判定が出す
11,,身長,VALUE,001211,,,,,,,
12,,体重,VALUE,001212,,,,,,,
13,,ＢＭＩ,IGNORE,,,,,,,,BMIは自動判定が計算する
14,,腹囲,VALUE,001215,,,,,,,
15,,★身体計測判定,IGNORE,,,,,,,,自動判定
16,,右視力 裸眼,VALUE,067012,,,,,,,
17,,左視力 裸眼,VALUE,067013,,,,,,,
18,,右視力 矯正,VALUE,067018,,,,,,,
19,,左視力 矯正,VALUE,067019,,,,,,,
20,,矯正区分（眼鏡・ｺﾝﾀｸ,IGNORE,,,,,,,,矯正区分
21,,★視力判定,IGNORE,,,,,,,,自動判定
22,,収縮期血圧（１回目）,VALUE,001253,,,,,,,
23,,拡張期血圧（１回目）,VALUE,001254,,,,,,,
24,,収縮期血圧（２回目）,VALUE,001255,,,,,,,
25,,拡張期血圧（２回目）,VALUE,001256,,,,,,,
26,,★血圧判定,IGNORE,,,,,,,,自動判定
27,,尿糖,MONSHIN,069207,,,NYOUZ,,,,東振協は全角（－）。code_map の NYOUZ で (-) に変換
28,,尿蛋白,MONSHIN,069206,,,NYOUZ,,,,
29,,尿潜血,MONSHIN,069211,,,NYOUZ,,,,
30,,判：尿糖,IGNORE,,,,,,,,自動判定
31,,判：尿蛋白,IGNORE,,,,,,,,自動判定
32,,判：尿潜血,IGNORE,,,,,,,,自動判定
33,,聴力右会話,IGNORE,,,,,,,,★会話法の聴力。項目コード未確認。今回は空
34,,聴力左会話,IGNORE,,,,,,,,★同上
35,,聴力右1000所見有無,MONSHIN,067132,,,,,,,
36,,聴力左1000所見有無,MONSHIN,067134,,,,,,,
37,,聴力右4000所見有無,MONSHIN,067133,,,,,,,
38,,聴力左4000所見有無,MONSHIN,067135,,,,,,,
39,,★聴力判定,IGNORE,,,,,,,,自動判定
40,,胸部フィルム№,VALUE,077010Z,,,,,,,胸部X線フィルムNo
41,,胸部撮影区分,IGNORE,,,,,,,,撮影区分
42,,胸部部位①-1,IGNORE,,,,,,,,胸部部位①-1 → 44列(胸部X線1)の部位として使う
43,,胸部部位①-2,IGNORE,,,,,,,,胸部部位①-2。今回は空
44,42,胸部所見①-1,SHOKENCD2,077010A,ZK020,ZK021,TOS_XRC,,,,胸部X線1。部位=42列(左上肺野はZK020とそのまま一致)。所見は TOS_XRC で変換
45,,胸部所見①-2,IGNORE,,,,,,,,胸部所見①-2。今回は空
46,,胸部部位②-1,IGNORE,,,,,,,,胸部部位②-1 → 48列(胸部X線2)の部位として使う
47,,胸部部位②-2,IGNORE,,,,,,,,今回は空
